Non-matching,Main
Andorra,Afghanistan
Anguilla,Albania
Antigua and Barbuda,Algeria
Aruba,Angola
Bahamas,Argentina
Barbados,Armenia
Belize,Australia
Bermuda,Austria
Bosnia and Herzegovina,Azerbaijan
Bosnia-Herzegovina,Baden
Brunei,Bahrain
Cabo Verde,Bangladesh
Cayman Islands,Bavaria
Congo (Brazzaville),Belarus
Congo (Kinshasa),Belgium
"Congo, Democratic Republic of",Benin
Cook Islands,Bhutan
Cote d'Ivoire,Bolivia
Dominica,Bosnia
Eswatini,Botswana
Faroe Islands,Brazil
"Germany, E. ",Bulgaria
"Germany, W. ",Burkina Faso
Gibraltar,Burundi
Greenland,Cambodia
Grenada,Cameroon
Iceland,Canada
"Iran, Islamic Republic of",Cape Verde
Kiribati,Central African Republic
"Korea, Republic of",Chad
Lao People's Dem. Republic,Chile
Liechtenstein,China
Maldives,Colombia
Malta,Comoros
Marshall Islands,Congo Brazzaville
Micronesia,Congo Kinshasa
"Micronesia, Federated States of",Congo-Brazzaville
"Moldova, Republic of",Costa Rica
Monaco,Cote D'Ivoire
Montserrat,Croatia
Myanmar,Cuba
Nauru,Cyprus
Netherlands Antilles,Czech Republic
North Korea,Czechoslovakia
North Macedonia,Denmark
"North Macedonia, Republic of ",Djibouti
Palau,Dominican Republic
Republic of The Congo (Brazzaville),Ecuador
Russian Federation,Egypt
Saint Kitts and Nevis,El Salvador
Saint Lucia,Equatorial Guinea
Saint Vincent and The Grenadines,Eritrea
Samoa,Estonia
San Marino,Ethiopia
Sao Tome and Principe,Fiji
Seychelles,Finland
Slovakia,France
South Korea,Gabon
St. Kitts and Nevis,Gambia
St. Lucia,Georgia
St. Vincent and the Grenadines,Germany
State of Palestine,Germany East
Syrian Arab Republic,Germany West
"Tanzania, United Republic of",Ghana
The Gambia,Gran Colombia
Timor-Leste,Greece
Tonga,Guatemala
Tuvalu,Guinea
United Arab Emirates,Guinea-Bissau
Vanuatu,Guyana
Viet Nam,Haiti
"Vietnam, N.",Honduras
"Vietnam, S.",Hungary
"Virgin Islands, British",India
West Germany,Indonesia
"Yemen, N.",Iran
"Yemen, S.",Iraq
"Yugoslavia, FR/Union of Serbia and Montenegro",Ireland
"Yugoslavia, SFR (1943-1992)",Israel
,Italy
,Ivory Coast
,Jamaica
,Japan
,Jordan
,Kazakhstan
,Kenya
,Korea
,Korea North
,Korea South
,Kosovo
,Kuwait
,Kyrgyzstan
,Laos
,Latvia
,Lebanon
,Lesotho
,Liberia
,Libya
,Lithuania
,Luxembourg
,Macedonia
,Madagascar
,Malawi
,Malaysia
,Mali
,Mauritania
,Mauritius
,Mexico
,Modena
,Moldova
,Mongolia
,Montenegro
,Morocco
,Mozambique
,Myanmar (Burma)
,Namibia
,Nepal
,Netherlands
,New Zealand
,Nicaragua
,Niger
,Nigeria
,Norway
,Oman
,Orange Free State
,Pakistan
,Panama
,Papal States
,Papua New Guinea
,Paraguay
,Parma
,Peru
,Philippines
,Poland
,Portugal
,Prussia
,Qatar
,Romania
,Russia
,Rwanda
,Sardinia
,Saudi Arabia
,Saxony
,Senegal
,Serbia
,Serbia and Montenegro
,Sierra Leone
,Singapore
,Slovak Republic
,Slovenia
,Solomon Islands
,Somalia
,South Africa
,South Sudan
,South Vietnam
,Spain
,Sri Lanka
,Sudan
,Sudan-North
,Suriname
,Swaziland
,Sweden
,Switzerland
,Syria
,Taiwan
,Tajikistan
,Tanzania
,Thailand
,Timor Leste
,Togo
,Trinidad and Tobago
,Tunisia
,Turkey
,Turkmenistan
,Tuscany
,Two Sicilies
,UAE
,USSR
,Uganda
,Ukraine
,United Kingdom
,United Province CA
,United States
,Uruguay
,Uzbekistan
,Venezuela
,Vietnam
,Vietnam North
,Wuerttemburg
,Yemen
,Yemen North
,Yemen South
,Yugoslavia
,Zambia
,Zimbabwe
