,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Political Contestation,,0.39867051740979936,0.5955916614200689,,0.35224768791501554,0.3147102963538186,,0.36790154727583285,0.3527238757459418,,0.3756332007802581,0.41565855777658334,,0.38911940790581795,0.40034199880573823
FH_civ,,0.14530390348850894,0.04835957345498556,,0.20684443537299163,0.22803940369481612,,0.15324124021896476,0.1829972735857649,,0.16456881623322467,0.22193371063589235,,0.1427304428823881,0.1933116138962718
Eligible population,,0.45602557910169167,0.3560487651249455,,0.4409078767119929,0.4572502999513652,,0.4788572125052024,0.4642788506682932,,0.4597979829865172,0.3624077315875244,,0.46815014921179404,0.40634638729798994
Year,,,,,,,,,,,,,,,
Accuracy,0.9241706161137441,0.9241706161137441,0.909952606635071,0.9590163934426229,0.9385245901639344,0.9385245901639344,0.9396551724137931,0.9396551724137931,0.9396551724137931,0.9802631578947368,0.993421052631579,0.9605263157894737,0.9226519337016574,0.9558011049723757,0.9337016574585635
Precision,0.0,0.0,0.0,0.0,0.3333333333333333,0.35,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,0.75,0.6666666666666666
Recall,0.0,0.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6428571428571429,0.2857142857142857
ROC-AUC,0.8078525641025641,0.6873397435897436,0.6323717948717948,0.8302600472813239,0.9498817966903073,0.941371158392435,0.8971166448230667,0.8387942332896461,0.8538663171690694,0.7897091722595079,1.0,1.0,0.9202309666381523,0.9223695466210436,0.9086826347305389
PR-AUC,0.5976606524610593,0.5976606524610593,0.5976606524610593,0.0982589507603538,0.0982589507603538,0.0982589507603538,0.24202741702741704,0.24202741702741704,0.24202741702741704,0.0419467787114846,0.0419467787114846,0.0419467787114846,0.3700327572210891,0.3700327572210891,0.3700327572210891
Train set size,466.0,466.0,466.0,677.0,677.0,677.0,921.0,921.0,921.0,1037.0,1037.0,1037.0,1189.0,1189.0,1189.0
Test set size,211.0,211.0,211.0,244.0,244.0,244.0,116.0,116.0,116.0,152.0,152.0,152.0,181.0,181.0,181.0
Train set decline share,"['False    0.94206', 'True     0.05794']","['False    0.94206', 'True     0.05794']","['False    0.94206', 'True     0.05794']","['False    0.936484', 'True     0.063516']","['False    0.936484', 'True     0.063516']","['False    0.936484', 'True     0.063516']","['False    0.94354', 'True     0.05646']","['False    0.94354', 'True     0.05646']","['False    0.94354', 'True     0.05646']","['False    0.943105', 'True     0.056895']","['False    0.943105', 'True     0.056895']","['False    0.943105', 'True     0.056895']","['False    0.947855', 'True     0.052145']","['False    0.947855', 'True     0.052145']","['False    0.947855', 'True     0.052145']"
Test set decline share,"['False    0.924171', 'True     0.075829']","['False    0.924171', 'True     0.075829']","['False    0.924171', 'True     0.075829']","['False    0.963115', 'True     0.036885']","['False    0.963115', 'True     0.036885']","['False    0.963115', 'True     0.036885']","['False    0.939655', 'True     0.060345']","['False    0.939655', 'True     0.060345']","['False    0.939655', 'True     0.060345']","['False    0.980263', 'True     0.019737']","['False    0.980263', 'True     0.019737']","['False    0.980263', 'True     0.019737']","['False    0.922652', 'True     0.077348']","['False    0.922652', 'True     0.077348']","['False    0.922652', 'True     0.077348']"
