,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Political Contestation,,0.41068295402727506,0.5861872767074107,,0.34218132593595607,0.3074307412046129,,0.33466494930386853,0.34399952137724227,,0.3707623909177114,0.41405740521418616,,0.38296958758737637,0.40373181292114424
FH_civ,,0.15892988069828884,0.048547531358540716,,0.1826041206843669,0.22848394494149285,,0.17019344687906318,0.19200536265758084,,0.1603097343435466,0.22463829439107616,,0.14163166857766482,0.1902637325176853
Eligible population,,0.43038716527443605,0.36526519193404855,,0.47521455337967694,0.46408531385389423,,0.4951416038170684,0.4639951159651769,,0.4689278747387421,0.36130430039473777,,0.4753987438349589,0.4060044545611705
Year,,,,,,,,,,,,,,,
Accuracy,0.9241706161137441,0.909952606635071,0.909952606635071,0.9590163934426229,0.9426229508196722,0.9426229508196722,0.9396551724137931,0.9396551724137931,0.9396551724137931,0.9802631578947368,0.993421052631579,0.9605263157894737,0.9226519337016574,0.9558011049723757,0.9337016574585635
Precision,0.0,0.0,0.0,0.0,0.35294117647058826,0.3684210526315789,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,0.75,0.6666666666666666
Recall,0.0,0.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6428571428571429,0.2857142857142857
ROC-AUC,0.8078525641025641,0.7105769230769231,0.632051282051282,0.8302600472813239,0.9555555555555556,0.941371158392435,0.8971166448230667,0.8315858453473133,0.8538663171690695,0.7897091722595079,1.0,1.0,0.9202309666381523,0.9180923866552609,0.9086826347305389
Train set size,466.0,466.0,466.0,677.0,677.0,677.0,921.0,921.0,921.0,1037.0,1037.0,1037.0,1189.0,1189.0,1189.0
Test set size,211.0,211.0,211.0,244.0,244.0,244.0,116.0,116.0,116.0,152.0,152.0,152.0,181.0,181.0,181.0
