,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Political Contestation,,0.4559466349452556,0.6664472762994214,,0.39189351706010805,0.47489133028344205,,0.39117965702822116,0.42711551997381814,,0.4011095556928968,0.44008182510293525,,0.39172753953310113,0.4232814014439807
FH_civ,,0.17220340505568846,0.0340076420129851,,0.18244834523628847,0.1040104522267144,,0.18157214583452133,0.21109138396839544,,0.16622975497203873,0.17796759957621378,,0.15403113061854645,0.1763049582827597
Eligible population,,0.37184995999905596,0.2995450816875935,,0.42565813770360356,0.42109821748984355,,0.4272481971372574,0.36179309605778637,,0.43266068933506446,0.3819505753208509,,0.4542413298483524,0.40041364027325965
Year,,,,,,,,,,,,,,,
Accuracy,0.8760330578512396,0.8429752066115702,0.8181818181818182,0.9076923076923077,0.9307692307692308,0.9307692307692308,0.9142857142857143,0.9571428571428572,0.9571428571428572,0.8461538461538461,0.8717948717948718,0.8717948717948718,0.8055555555555556,0.9444444444444444,0.9166666666666666
Precision,0.0,0.3333333333333333,0.23076923076923078,0.0,0.6363636363636364,0.6363636363636364,1.0,0.8181818181818182,0.8181818181818182,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8571428571428571,0.8333333333333334
Recall,0.0,0.26666666666666666,0.2,0.0,0.5833333333333334,0.5833333333333334,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.0,0.3333333333333333,0.3333333333333333,0.0,0.8571428571428571,0.7142857142857143
ROC-AUC,0.8345911949685535,0.8342767295597484,0.6566037735849056,0.8485169491525424,0.907132768361582,0.8721751412429378,0.752877044215627,0.9839491217443973,0.9836462749848576,0.9255050505050505,0.7979797979797979,0.811868686868687,0.6600985221674878,0.9802955665024631,0.9655172413793104
PR-AUC,0.5158289378849867,0.38724371628531,0.30482743262468737,0.4122708543800033,0.6468049594475112,0.7141756303273121,0.2512893112005097,0.8627194909423026,0.6975252173007591,0.5596420940170941,0.47224770953003337,0.45160592288560214,0.4960280178504968,0.91797052154195,0.8326530612244898
Train set size,340.0,340.0,340.0,461.0,461.0,461.0,591.0,591.0,591.0,731.0,731.0,731.0,809.0,809.0,809.0
Test set size,121.0,121.0,121.0,130.0,130.0,130.0,140.0,140.0,140.0,78.0,78.0,78.0,36.0,36.0,36.0
Train set decline share,"['False    0.9', 'True     0.1']","['False    0.9', 'True     0.1']","['False    0.9', 'True     0.1']","['False    0.893709', 'True     0.106291']","['False    0.893709', 'True     0.106291']","['False    0.893709', 'True     0.106291']","['False    0.896785', 'True     0.103215']","['False    0.896785', 'True     0.103215']","['False    0.896785', 'True     0.103215']","['False    0.898769', 'True     0.101231']","['False    0.898769', 'True     0.101231']","['False    0.898769', 'True     0.101231']","['False    0.893696', 'True     0.106304']","['False    0.893696', 'True     0.106304']","['False    0.893696', 'True     0.106304']"
Test set decline share,"['False    0.876033', 'True     0.123967']","['False    0.876033', 'True     0.123967']","['False    0.876033', 'True     0.123967']","['False    0.907692', 'True     0.092308']","['False    0.907692', 'True     0.092308']","['False    0.907692', 'True     0.092308']","['False    0.907143', 'True     0.092857']","['False    0.907143', 'True     0.092857']","['False    0.907143', 'True     0.092857']","['False    0.846154', 'True     0.153846']","['False    0.846154', 'True     0.153846']","['False    0.846154', 'True     0.153846']","['False    0.805556', 'True     0.194444']","['False    0.805556', 'True     0.194444']","['False    0.805556', 'True     0.194444']"
