,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Political Contestation,,0.48732415632915194,0.6635548819773118,,0.34527659730270693,0.4280637851144906,,0.38284075162567804,0.36937074939307285,,0.39374479434226906,0.46305944423110745,,0.39790362356177383,0.35331265765738257
FH_civ,,0.15530258138238157,0.0340274038267195,,0.20448521613037468,0.21106317098890162,,0.17149931176164818,0.22997217100175538,,0.1701186709245311,0.20411654510194935,,0.16321408323355197,0.2130051695401394
Eligible population,,0.3573732622884664,0.30241771419596863,,0.4502381865669184,0.36087304389660774,,0.44565993661267383,0.4006570796051717,,0.4361365347331998,0.33282401066694317,,0.43888229320467415,0.43368217280247806
Year,,,,,,,,,,,,,,,
Accuracy,0.8924302788844621,0.8685258964143426,0.8366533864541833,0.90625,0.9375,0.9375,0.9206349206349206,0.9444444444444444,0.9523809523809523,0.9207317073170732,0.8841463414634146,0.8353658536585366,0.8333333333333334,0.8968253968253969,0.8968253968253969
Precision,0.0,0.3333333333333333,0.23076923076923078,1.0,0.8181818181818182,0.8181818181818182,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.7222222222222222
Recall,0.0,0.2222222222222222,0.2222222222222222,0.05263157894736842,0.47368421052631576,0.47368421052631576,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.6190476190476191,0.6190476190476191
ROC-AUC,0.8406911375661377,0.7876984126984126,0.6889880952380952,0.8135077578338911,0.9622756312747186,0.9710982658959537,0.8939655172413793,0.9698275862068966,0.9077586206896552,0.848191543555782,0.5010188487009679,0.7075904228222109,0.846031746031746,0.899092970521542,0.8151927437641723
PR-AUC,0.45587992808409394,0.31597848564148096,0.26003259609274365,0.29121444691026765,0.6853009017220952,0.6563215690858043,0.2994588744588745,0.7194444444444443,0.5689605734767025,0.2067762766929746,0.07579335533134783,0.12039958251730759,0.5948575527567397,0.5195086276853195,0.5296508195296303
Train set size,340.0,340.0,340.0,591.0,591.0,591.0,783.0,783.0,783.0,909.0,909.0,909.0,1073.0,1073.0,1073.0
Test set size,251.0,251.0,251.0,192.0,192.0,192.0,126.0,126.0,126.0,164.0,164.0,164.0,126.0,126.0,126.0
Train set decline share,"['False    0.9', 'True     0.1']","['False    0.9', 'True     0.1']","['False    0.9', 'True     0.1']","['False    0.896785', 'True     0.103215']","['False    0.896785', 'True     0.103215']","['False    0.896785', 'True     0.103215']","['False    0.897829', 'True     0.102171']","['False    0.897829', 'True     0.102171']","['False    0.897829', 'True     0.102171']","['False    0.90099', 'True     0.09901']","['False    0.90099', 'True     0.09901']","['False    0.90099', 'True     0.09901']","['False    0.904007', 'True     0.095993']","['False    0.904007', 'True     0.095993']","['False    0.904007', 'True     0.095993']"
Test set decline share,"['False    0.89243', 'True     0.10757']","['False    0.89243', 'True     0.10757']","['False    0.89243', 'True     0.10757']","['False    0.901042', 'True     0.098958']","['False    0.901042', 'True     0.098958']","['False    0.901042', 'True     0.098958']","['False    0.920635', 'True     0.079365']","['False    0.920635', 'True     0.079365']","['False    0.920635', 'True     0.079365']","['False    0.920732', 'True     0.079268']","['False    0.920732', 'True     0.079268']","['False    0.920732', 'True     0.079268']","['False    0.833333', 'True     0.166667']","['False    0.833333', 'True     0.166667']","['False    0.833333', 'True     0.166667']"
